Supplier,Purchaser,CDR Group,CDR Method,Status,Tons Purchased,Total price (USD),Tons Delivered,Announcement Date,Announcement Link,Demand-side Marketplace,Supply-side Marketplace,Year,Month,Day
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,undelivered,31.0,,,2022-12-30 00:00:00,marketplace report,0,Watershed,2022,12,30
Pacific Biochar,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,902.0,,902.0,2022-12-28 00:00:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,12,28
Charm Industrial,Cosora,BiCRS,Bio-oil,delivered,1.0,,1.0,2021-04-13 00:00:00,https://charmindustrial.com/order?orderId=rec9gFkyAdTMGlzk9,0,0,2021,04,13
Bussme Energy,Orkestro,BiCRS,Biochar,delivered,1.0,,1.0,2022-04-08 00:00:00,https://registry.puro.earth/carbon-sequestration,Pledge,Puro,2022,04,08
Planboo,Aggregate Purchase,BiCRS,Biochar,undelivered,45.0,,,2023-06-30 00:00:00,Marketplace purchaser report,0,Klimate,2023,06,30
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,0.3,,,2023-12-15 00:00:00,patch order id: ord_prod_050cc76d7d9999705926c112abe292c5,0,Patch,2023,12,15
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,delivered,2.0,,2.0,2021-06-30 00:00:00,https://charmindustrial.com/order?orderId=recWr3EaYlbcDsCCJ,0,Carbon Removed,2021,06,30
Hjelmsäters Egendom,Swiss Re ,BiCRS,Biochar,delivered,12.0,,12.0,2022-01-17 00:00:00,https://registry.puro.earth/carbon-sequestration,0,Puro,2022,01,17
Holy Grail,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,12.0,,,2023-12-15 00:00:00,patch order id: ord_prod_9d972eabf7ebe785d9677726f530dc81,0,Patch,2023,12,15
Novocarbo,Bayer AG,BiCRS,Biochar,delivered,445.0,,445.0,2023-10-04 00:00:00,https://docs.google.com/spreadsheets/d/1yz9AG25mjOrvnb6LSSk4eTFbjuzWO0SSTvS1fMozal4/edit#gid=0,0,Puro,2023,10,04
